"Order ID",1,2,3,4,5
300095753,Completed,359.1,-7.02,352.08,
300095751,Completed,19.95,-0.7,19.25,
300095748,Completed,10.8,-0.36,10.44,
300095747,Completed,6,-0.26,5.74,
300095738,Completed,32.63,-0.82,31.81,
300095733,Completed,72.68,-1.53,71.15,
300095732,Completed,222.43,-4.43,218,
300095715,Completed,24,-0.66,23.34,
300095714,Completed,193,-3.87,189.13,
300095702,Completed,65.26,-1.44,63.82,
300095701,Completed,33.83,-0.84,32.99,
300095697,Completed,195.2,-3.86,191.34,
300095677,Completed,100.85,-2.57,98.28,
300095670,Completed,186.62,-3.75,182.87,
300095662,Completed,249.85,-4.9,244.95,
300095648,Completed,134.68,-2.71,131.97,
300095641,"Partially Refunded",342.84,-6.66,336.18,
300095633,Completed,40,-0.91,39.09,
300095628,Completed,219.8,-4.38,215.42,
300095622,"Partially Refunded",219.95,-4.33,215.62,
300095585,Completed,52.4,-1.15,51.25,
300095584,Completed,79.2,-1.65,77.55,
300069743,Refunded,22.68,-0.58,22.1,
300095562,Completed,204.12,-4.08,200.04,
300095526,Completed,20.4,-0.71,19.69,
300095508,Completed,47.52,-1.05,46.47,
300095500,Completed,78.2,-1.64,76.56,
300095499,Completed,145.9,-2.92,142.98,
300095477,Completed,14,-0.47,13.53,
300095470,Completed,49.5,-1.14,48.36,
300095467,Completed,111.24,-2.31,108.93,
300095417,Completed,58,-1.25,56.75,
300095401,Completed,70.48,-2.47,68.01,
300095400,Completed,100.8,-2.12,98.68,
300095396,Completed,21.25,-0.6,20.65,
300095395,Completed,51.85,-1.14,50.71,
300095373,Refunded,13.61,-0.46,13.15,
300095328,Completed,38.7,-0.94,37.76,
300095319,Completed,7.65,-0.35,7.3,
300095308,Completed,1084,-20.8,1063.2,
300095304,Completed,869,-16.71,852.29,
300095295,Completed,146.35,-2.98,143.37,
300095294,Completed,22.5,-0.58,21.92,
300095293,Completed,40,-0.91,39.09,
300095258,Completed,56.7,-1.23,55.47,
300095244,Completed,224,-4.41,219.59,
300095242,Completed,26.1,-0.65,25.45,
300095240,Completed,76.5,-1.6,74.9,
300095225,Completed,36,-0.83,35.17,
300095214,Completed,42.95,-1.02,41.93,
300095215,Completed,210.6,-4.15,206.45,
300095199,Completed,124,-2.51,121.49,
300095195,Completed,110,-2.24,107.76,
300095182,Completed,143,-2.87,140.13,
300095174,Completed,29.7,-0.76,28.94,
300095167,Completed,65,-1.44,63.56,
300095168,Completed,80.1,-1.72,78.38,
300095164,Completed,41.8,-0.99,40.81,
300095157,Completed,79.95,-1.72,78.23,
300095150,Completed,93,-1.97,91.03,
300095147,Completed,45,-1.06,43.94,
300095141,Completed,82.13,-1.71,80.42,
300095137,Completed,61.15,-1.31,59.84,
300095134,Completed,52.65,-1.15,51.5,
300095121,Completed,108.86,-2.27,106.59,
300095106,Refunded,25.2,-0.63,24.57,
300095088,Refunded,17.01,-0.47,16.54,
300095073,Completed,36.29,-0.84,35.45,
300095067,Completed,233.95,-4.65,229.3,
300095057,Completed,209.95,-4.19,205.76,
300095052,Completed,145.8,-2.97,142.83,
300095051,"Partially Refunded",221.95,-4.42,217.53,
300094999,Completed,48,-1.68,46.32,
300094997,Completed,29.7,-0.76,28.94,
300094995,Completed,121.5,-2.51,118.99,
300094992,Completed,10,-0.35,9.65,
300094989,Completed,85.7,-3,82.7,
300094985,Completed,32.4,-0.82,31.58,
300094983,Completed,167.2,-3.38,163.82,
300094979,Completed,90,-1.91,88.09,
300094904,Completed,33.11,-0.83,32.28,
300094885,Completed,18,-0.49,17.51,
300094884,Refunded,79.2,-1.7,77.5,
300094878,Completed,187.2,-3.76,183.44,
300094871,Completed,20.25,-0.53,19.72,
300094860,Completed,21.06,-0.55,20.51,
300094858,Completed,65,-1.44,63.56,
300094851,Completed,78.2,-1.64,76.56,
300094850,"Partially Refunded",81.6,-2.11,79.49,
300094836,Completed,79,-1.65,77.35,
300094822,Completed,31.85,-0.76,31.09,
300094819,Completed,42.75,-1.01,41.74,
300094805,Completed,79,-1.65,77.35,
300094797,Completed,23.4,-0.64,22.76,
300094773,Completed,79,-2.77,76.23,
300094767,Completed,79,-1.7,77.3,
300094766,Completed,79,-1.7,77.3,
300094764,Completed,79,-1.65,77.35,
300094756,Refunded,141.95,-3.56,138.39,
300094734,Completed,69.12,-1.51,67.61,
300094714,Completed,14.58,-0.43,14.15,
300094694,Completed,60.3,-1.3,59,
300094593,Completed,92.34,-1.9,90.44,
300094570,Completed,55,-1.2,53.8,
300094558,Completed,13.14,-0.45,12.69,
300094531,Completed,56.38,-1.22,55.16,
300094530,Completed,90,-1.91,88.09,
300094516,Completed,51.2,-1.17,50.03,
300094501,Completed,56.38,-1.27,55.11,
300094487,Completed,14.95,-0.48,14.47,
300094488,Completed,63.94,-2.24,61.7,
300094455,Completed,32.66,-0.82,31.84,
300094454,Completed,64.8,-1.43,63.37,
300094424,Completed,38,-0.87,37.13,
300094423,Completed,64.8,-1.38,63.42,
300094413,Completed,89,-1.84,87.16,
300094401,Completed,17.55,-0.53,17.02,
300094269,Completed,57.8,-1.25,56.55,
300094370,Completed,90.58,-1.87,88.71,
300094367,Completed,40.5,-0.92,39.58,
300094355,Completed,1118.7,-27,1091.7,
300094336,1,2,3,4,5
300094324,Completed,23,-0.59,22.41,
300094313,1,2,3,4,5
300094302,Completed,24,-0.61,23.39,
300094292,1,2,3,4,5
300094286,1,2,3,4,5
300094234,1,2,3,4,5
300094232,1,2,3,4,5
300094174,1,2,3,4,5
300094167,1,2,3,4,5
300094161,1,2,3,4,5
300094157,1,2,3,4,5
300094148,1,2,3,4,5
300094124,1,2,3,4,5
300094117,1,2,3,4,5
300094108,Completed,41.04,-0.93,40.11,
300094091,1,2,3,4,5
300094064,1,2,3,4,5
300094054,1,2,3,4,5
300057902,1,2,3,4,5
300094040,1,2,3,4,5
300094015,1,2,3,4,5
300093999,Completed,93,-1.92,91.08,
300094009,Completed,17.98,-0.49,17.49,
