 Invoice Number, Status, Gross, Fee, Net, Reserve
,Placed,-1.76,...,-1.76,
,Placed,-2.93,...,-2.93,
300098936,Completed,8.5,-0.31,8.19,
300098937,Completed,36,-0.88,35.12,
300098935,Completed,59.29,-1.33,57.96,
300098934,Completed,59.96,-1.29,58.67,
,Placed,-6.81,...,-6.81,
300098933,Completed,139,-2.84,136.16,
,Placed,-1000,24.15,-975.85,
,Placed,-1.52,...,-1.52,
,Placed,-10.52,...,-10.52,
,Placed,-0.87,...,-0.87,
300098932,Completed,218,-7.63,210.37,
300098931,Completed,31.21,-0.79,30.42,
,Placed,-2.5,...,-2.5,
300098930,Completed,18,-0.54,17.46,
,Completed,50,0,50,
,Placed,-1.31,...,-1.31,
,Placed,-25,...,-25,
300098928,Completed,27,-0.71,26.29,
,Completed,500,0,500,
,Placed,-2.11,...,-2.11,
,Placed,-1.32,...,-1.32,
300098927,Completed,43.2,-1.02,42.18,
,Placed,-4.68,...,-4.68,
200000213,Completed,27,-0.66,26.34,
300098926,Completed,97,-3.4,93.6,
,Placed,-1.45,...,-1.45,
300098925,Completed,29.7,-0.76,28.94,
,Placed,-6.77,...,-6.77,
,Placed,-10.41,...,-10.41,
300098924,Completed,140.4,-4.91,135.49,
200000212,Completed,212.4,-4.24,208.16,
,Placed,-0.66,...,-0.66,
,Placed,-2.54,...,-2.54,
300098922,Completed,51.85,-1.14,50.71,
300098921,Completed,13.61,-0.46,13.15,
,Placed,-1000,24.15,-975.85,
,Placed,-1.99,...,-1.99,
300098919,Completed,40.8,-0.98,39.82,
,Placed,-1.26,...,-1.26,
300098917,Completed,25.76,-0.64,25.12,
,Placed,-1.94,...,-1.94,
300098916,Completed,39.6,-0.9,38.7,
,Placed,-1.58,...,-1.58,
300098915,Completed,32.45,-0.82,31.63,
,Placed,-5.76,...,-5.76,
300098914,Completed,117.61,-2.43,115.18,
,Placed,-11.72,...,-11.72,
300098913,Completed,239.23,-4.75,234.48,
,Placed,-1.27,...,-1.27,
300098912,Completed,26.1,-0.65,25.45,
300098911,Completed,64.8,-1.43,63.37,
,Placed,-3.7,...,-3.7,
,Placed,-1.61,...,-1.61,
300098910,Completed,75.6,-1.59,74.01,
300098909,Completed,32.95,-0.83,32.12,
,Placed,-0.78,...,-0.78,
300098908,Completed,16.15,-0.46,15.69,
,Placed,-1.58,...,-1.58,
300098907,Completed,32.4,-0.77,31.63,
,Placed,-6.14,...,-6.14,
300098906,Completed,125.87,-3.17,122.7,
,Placed,-3.39,...,-3.39,
300098903,Completed,69.3,-1.47,67.83,
,Placed,-7.82,...,-7.82,
200000211,Completed,162,-5.67,156.33,
,Placed,-2.79,...,-2.79,
300098905,Completed,57,-1.28,55.72,
,Placed,-18.74,...,-18.74,
300098904,Refunded,382.32,-7.46,374.86,
,Placed,-1.46,...,-1.46,
,Placed,-0.63,...,-0.63,
300098902,Completed,30,-0.72,29.28,
300098901,Completed,13,-0.4,12.6,
,Placed,-1.41,...,-1.41,
,Placed,-2.33,...,-2.33,
300098900,Completed,28.9,-0.75,28.15,
