 Invoice Number, Status, Gross, Fee, Net, Reserve
,Cleared,90,0,90,
200000038,Completed,41,-0.98,40.02,
300094508,Completed,132,-3.37,128.63,
300094507,Completed,49.57,-1.09,48.48,
300094506,Completed,118.1,-2.44,115.66,
300094505,Completed,139.46,-2.85,136.61,
300094504,Completed,64.8,-1.43,63.37,
300094503,Completed,45,-1.01,43.99,
300094502,Completed,84,-1.8,82.2,
300094501,Completed,56.38,-1.27,55.11,
300094500,Completed,40.8,-0.98,39.82,
300094499,Completed,9.5,-0.38,9.12,
300094317,Refunded,85.5,-1.82,83.68,
300094498,Completed,23,-0.64,22.36,
300094497,Completed,34,-0.8,33.2,
300094496,Completed,17,-0.52,16.48,
,Removed,-1410,34.04,-1375.96,
300094495,Completed,21,-0.6,20.4,
300094494,Completed,110.25,-2.29,107.96,
300094493,Completed,253.15,-5.01,248.14,
300094492,Completed,125.46,-2.58,122.88,
,Completed,-13521.71,0,-13521.71,
300094491,Completed,48,-1.06,46.94,
300094490,Refunded,30.6,-0.78,29.82,
INV2-88BQ-7TZH-RG3G-VGET,Completed,166.52,-5.98,160.54,
45129,Paid,166.52,0,166.52,
300094489,Refunded,47.5,-1.05,46.45,
300094488,Completed,63.94,-2.24,61.7,
300094487,Completed,14.95,-0.48,14.47,
300094486,Completed,48.45,-1.7,46.75,
300094485,Completed,272.16,-5.37,266.79,
300094484,Completed,346,-6.77,339.23,
300094483,Completed,128.25,-3.23,125.02,
,Completed,203.04,-7.11,195.93,
,Completed,178,-3.58,174.42,
,Completed,40.5,-0.97,39.53,
,Completed,298,-5.86,292.14,
,Completed,86.4,-1.84,84.56,
,Completed,121.43,-2.51,118.92,
300094481,Completed,35,-0.87,34.13,
300094480,Completed,69.3,-1.52,67.78,
300094479,Completed,28,-0.73,27.27,
300094478,Completed,15.3,-0.49,14.81,
300094477,Partially Refunded,87.85,-1.87,85.98,
300094476,Completed,48.45,-1.07,47.38,
300094475,Completed,89.95,-1.86,88.09,
300094474,Completed,120,-2.48,117.52,
300094473,Completed,121.43,-2.51,118.92,
300094472,Completed,92.61,-1.96,90.65,
300094471,Completed,139.97,-4.9,135.07,
300094470,Refunded,157.6,-3.93,153.67,
,Completed,564,-10.92,553.08,
300094469,Completed,564,-10.92,553.08,
,Completed,6820,-129.78,6690.22,
300094468,Completed,6820,-129.78,6690.22,
300094467,Partially Refunded,55.8,-1.26,54.54,
300094465,Partially Refunded,88.26,-1.88,86.38,
300094462,Completed,30,-0.72,29.28,
300094464,Completed,66.96,-1.47,65.49,
300094463,Denied,14.04,0,14.04,
300094461,Completed,111.35,-2.27,109.08,
300094460,Completed,223.56,-4.45,219.11,
300094459,Completed,52,-1.14,50.86,
,Completed,1.4,0,1.4,
,Completed,-73.5,1.4,-72.1,
300094458,Completed,27.95,-0.68,27.27,
300094457,Completed,86.4,-1.84,84.56,
300094456,Completed,29,-1.02,27.98,
,Completed,0.27,0,0.27,
,Completed,-14.04,0.27,-13.77,
300094455,Completed,32.66,-0.82,31.84,
300094453,Refunded,14.04,-0.42,13.62,
300094454,Completed,64.8,-1.43,63.37,
300094452,Completed,101.21,-2.63,98.58,
300094451,Completed,59.29,-1.33,57.96,
200000037,Denied,14.04,0,14.04,
300094450,Completed,14.04,-0.47,13.57,
300094449,Denied,14.04,0,14.04,
,Refunded,15,-0.51,14.49,
300094448,Completed,27.97,-0.73,27.24,
300094446,Completed,8.5,-0.36,8.14,
,Placed,-12687.85,...,-12687.85,
INV2-523V-7HWW-D8UQ-RX6Z,Completed,13000,-312.15,12687.85,
300094444,Completed,63.38,-1.4,61.98,
300094443,Completed,117,-2.42,114.58,
45128,Paid,13000,0,13000,
,Completed,0.55,0,0.55,
,Completed,-28.8,0.55,-28.25,
300094440,Completed,381.45,-7.45,374,
300094438,Refunded,109,-2.22,106.78,
300094439,Completed,43.2,-1.02,42.18,
,Completed,112.8,-2.34,110.46,
,Completed,1.41,0,1.41,
,Completed,-74.35,1.41,-72.94,
300094437,Completed,112.8,-2.34,110.46,
,Completed,0.11,0,0.11,
,Completed,-5.95,0.11,-5.84,
300094436,Partially Refunded,99.25,-2.09,97.16,
,Completed,1.18,0,1.18,
,Completed,-61.95,1.18,-60.77,
,Completed,0.68,0,0.68,
,Completed,-36,0.68,-35.32,
,Completed,0.91,0,0.91,
,Completed,-48,0.91,-47.09,
,Completed,0.31,0,0.31,
,Completed,-16.2,0.31,-15.89,
300094435,Completed,110,-2.24,107.76,
,Completed,0.63,0,0.63,
,Completed,-33,0.63,-32.37,
,Completed,0.93,0,0.93,
,Completed,-49.15,0.93,-48.22,
,Completed,3.28,0,3.28,
,Completed,-136.85,3.28,-133.57,
,Completed,0.85,0,0.85,
,Completed,-44.83,0.85,-43.98,
,Completed,0.26,0,0.26,
,Completed,-13.5,0.26,-13.24,
300094434,Completed,69.3,-1.52,67.78,
,Completed,3.34,0,3.34,
,Completed,-176,3.34,-172.66,
,Completed,2.93,0,2.93,
,Completed,-154.45,2.93,-151.52,
300094433,Completed,43.74,-1.03,42.71,
300094432,Completed,19.44,-0.52,18.92,
,Completed,0.97,0,0.97,
,Completed,-51.29,0.97,-50.32,
,Completed,0.43,0,0.43,
,Completed,-22.5,0.43,-22.07,
300094431,Completed,139,-2.79,136.21,
,Completed,0.31,0,0.31,
,Completed,-16.2,0.31,-15.89,
,Completed,0.74,0,0.74,
,Completed,-38.88,0.74,-38.14,
,Completed,-49.5,0,-49.5,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
,Completed,2.38,0,2.38,
,Completed,-125,2.38,-122.62,
,Completed,0.86,0,0.86,
,Completed,-45,0.86,-44.14,
,Completed,1.03,0,1.03,
,Completed,-54,1.03,-52.97,
,Completed,1.42,0,1.42,
,Completed,-74.88,1.42,-73.46,
300094430,Completed,49.77,-1.15,48.62,
300094429,Completed,51.95,-1.19,50.76,
,Completed,0.16,0,0.16,
,Completed,-8.5,0.16,-8.34,
300094428,Partially Refunded,57,-1.28,55.72,
300094427,Completed,32.4,-0.82,31.58,
300094426,Completed,32,-0.76,31.24,
,Completed,15,-0.51,14.49,
300094425,Completed,152,-5.32,146.68,
300094424,Completed,38,-0.87,37.13,
300094423,Completed,64.8,-1.38,63.42,
300094422,Completed,98,-2.06,95.94,
300094421,Completed,45,-1.23,43.77,
300094420,Refunded,64.8,-1.38,63.42,
,Removed,-76,1.59,-74.41,
,Completed,72.5,-1.89,70.61,
300094418,Completed,8.5,-0.31,8.19,
,Removed,-24,0.61,-23.39,
300094417,Refunded,40.82,-0.93,39.89,
200000036,Completed,58.13,-1.3,56.83,
300094416,Completed,212.33,-7.43,204.9,
300094415,Partially Refunded,37.5,-0.91,36.59,
300094414,Completed,36.9,-0.85,36.05,
200000035,Completed,57.24,-1.29,55.95,
300094413,Completed,89,-1.84,87.16,
200000034,Completed,693,-13.37,679.63,
300094412,Completed,18,-0.49,17.51,
300094411,Completed,27,-0.95,26.05,
300094410,Completed,104.4,-2.13,102.27,
200000033,Completed,33,-0.78,32.22,
45127,Paid,172.61,0,172.61,
45126,Paid,65,0,65,
45125,Paid,75,0,75,
45124,Paid,39,0,39,
45123,Paid,67,0,67,
45122,Paid,132.92,0,132.92,
45121,Paid,144.72,0,144.72,
45120,Paid,85,0,85,
45119,Paid,112.13,0,112.13,
45115,Paid,1.08,0,1.08,
300094409,Completed,30.24,-0.77,29.47,
,Completed,15,-0.51,14.49,
300094408,Completed,60.75,-1.35,59.4,
300094407,Completed,18.9,-0.51,18.39,
300094160,Completed,42.75,-0.96,41.79,
300094405,Completed,10,-0.34,9.66,
300094404,Completed,17.85,-0.54,17.31,
300094403,Completed,121.55,-2.46,119.09,
,Completed,-9000.77,0,-9000.77,
300094402,Completed,162,-3.23,158.77,
,Completed,15,-0.51,14.49,
300094401,Completed,17.55,-0.53,17.02,
300094400,Completed,44,-1.04,42.96,
300094399,Completed,8.5,-0.31,8.19,
300094398,Completed,33.05,-0.83,32.22,
300094397,Completed,68.04,-1.49,66.55,
300094269,Completed,57.8,-1.25,56.55,
300094396,Completed,44,-1.54,42.46,
300094395,Completed,42,-1,41,
300094394,Completed,55.5,-1.94,53.56,
,Completed,138.6,-2.83,135.77,
300094393,Completed,92.88,-1.91,90.97,
300094392,Completed,21,-0.6,20.4,
,Completed,15,-0.51,14.49,
300094391,Completed,129,-2.6,126.4,
300094390,Completed,78.03,-1.63,76.4,
300094387,Completed,14.95,-0.43,14.52,
300094389,Completed,22.15,-0.62,21.53,
300094388,Completed,184.05,-3.7,180.35,
300094386,Completed,183.07,-3.68,179.39,
INV2-PZXP-66KL-92UA-XD6R,Completed,172.61,-6.19,166.42,
45127,Paid,172.61,0,172.61,
300094385,Completed,138.6,-2.83,135.77,
300094384,Completed,120,-2.43,117.57,
300094383,Refunded,88.5,-1.83,86.67,
300094382,Completed,97.2,-2.05,95.15,
300094381,Completed,33.05,-0.78,32.27,
300094380,Completed,58.5,-1.31,57.19,
300094379,Completed,159.84,-3.19,156.65,
300094378,Partially Refunded,63.95,-1.42,62.53,
300094377,Completed,48,-1.11,46.89,
200000032,Completed,33.05,-1.16,31.89,
300094376,Denied,2.16,0,2.16,
300094375,Completed,54,-1.18,52.82,
300094374,Completed,169,-3.41,165.59,
300094372,Completed,29.7,-0.71,28.99,
300094373,Completed,40.5,-0.97,39.53,
300094171,Completed,106.2,-2.7,103.5,
300094371,Completed,164.9,-3.33,161.57,
300094368,Completed,27,-0.66,26.34,
300094370,Completed,90.58,-1.87,88.71,
,Completed,72.5,-1.89,70.61,
300094367,Completed,40.5,-0.92,39.58,
300094369,Completed,30,-0.77,29.23,
300094366,Completed,449,-8.73,440.27,
300094365,Completed,436,-8.48,427.52,
300094364,Partially Refunded,229.5,-4.56,224.94,
300094363,Completed,78.2,-1.64,76.56,
,Refunded,15,-0.51,14.49,
300094362,Completed,238,-4.72,233.28,
,Completed,15,-0.51,14.49,
300094360,Completed,231.79,-4.55,227.24,
300094361,Completed,80.51,-1.73,78.78,
,Paid,15,0,15,
,Pending,72.5,0,72.5,
,Paid,72.5,0,72.5,
,Paid,15,0,15,
,Paid,15,0,15,
,Paid,15,0,15,
,Paid,72.5,0,72.5,
,Paid,72.5,0,72.5,
,Paid,72.5,0,72.5,
,Pending,72.5,0,72.5,
,Paid,72.5,0,72.5,
,Canceled,72.5,0,72.5,
,Paid,15,0,15,
,Canceled,72.5,0,72.5,
300094359,Partially Refunded,130.95,-2.69,128.26,
300094346,Completed,53.1,-1.16,51.94,
300094355,Completed,1118.7,-27,1091.7,
,Completed,27.9,-0.87,27.03,
300094358,Denied,14.04,0,14.04,
,Canceled,5572,0,5572,
,Completed,106.25,-2.22,104.03,
,Completed,22.28,-0.62,21.66,
,Completed,24.79,-0.67,24.12,
,Completed,86.4,-1.84,84.56,
,Completed,52.9,-1.47,51.43,
,Completed,53.95,-1.23,52.72,
,Completed,31.1,-0.79,30.31,
,Completed,30.6,-0.78,29.82,
,Completed,62.91,-1.4,61.51,
,Completed,85.8,-1.83,83.97,
,Completed,118.8,-2.46,116.34,
300094340,Completed,92,-1.9,90.1,
300094339,Completed,24.95,-0.62,24.33,
300094332,Completed,78.95,-1.65,77.3,
300094331,Completed,41,-0.93,40.07,
,Completed,51.4,-1.18,50.22,
,Completed,43,-1.02,41.98,
,Completed,77.35,-1.67,75.68,
,Refunded,48,-1.35,46.65,
300094326,Refunded,210,-5.19,204.81,
,Completed,150.45,-3.06,147.39,
300094324,Completed,23,-0.59,22.41,
,Completed,54,-1.23,52.77,
300094323,Refunded,25,-0.63,24.37,
300094314,Completed,157.95,-3.15,154.8,
300094311,Refunded,12,-0.38,11.62,
300094306,Completed,16.75,-0.47,16.28,
300094302,Completed,24,-0.61,23.39,
300094301,Refunded,30.24,-0.72,29.52,
300094282,Completed,54,-1.45,52.55,
300094275,Completed,50.65,-1.11,49.54,
300094274,Completed,68,-1.44,66.56,
300094270,Refunded,70.95,-1.5,69.45,
300094263,Refunded,28,-0.68,27.32,
300094230,Completed,34,-0.8,33.2,
300094226,Refunded,33,-0.78,32.22,
300094225,Completed,85.5,-1.77,83.73,
300094221,Partially Refunded,186.84,-3.7,183.14,
300094219,Completed,231,-5.69,225.31,
300094216,Completed,22.5,-0.58,21.92,
300094215,Completed,32.4,-0.77,31.63,
300094214,Completed,136,-2.73,133.27,
300094211,Completed,164,-4.09,159.91,
300094207,Completed,65.35,-1.39,63.96,
300094205,Partially Refunded,116.11,-2.94,113.17,
300094201,Completed,226.69,-4.46,222.23,
300094199,Completed,224,-4.41,219.59,
300094195,Completed,8.5,-0.31,8.19,
300094192,Completed,88,-1.82,86.18,
300094159,Completed,85.5,-1.77,83.73,
300094158,Completed,34,-0.8,33.2,
300094135,Completed,36,-0.83,35.17,
300094132,Refunded,44.83,-1,43.83,
300094127,Completed,73.95,-1.56,72.39,
300094123,Completed,57.92,-1.25,56.67,
300094098,Completed,105,-2.67,102.33,
300094108,Completed,41.04,-0.93,40.11,
300094107,Completed,32,-0.92,31.08,
300094103,Completed,32,-0.76,31.24,
300094100,Completed,11.88,-0.38,11.5,
300094101,Completed,18,-0.49,17.51,
300094099,Completed,109.08,-2.22,106.86,
300094097,Completed,80,-1.67,78.33,
300094094,Completed,17,-0.47,16.53,
300094080,Completed,179.88,-4.47,175.41,
300094060,Completed,96.26,-1.98,94.28,
300094059,Completed,209.6,-4.13,205.47,
300094053,Completed,43.18,-0.97,42.21,
300094050,Completed,7.5,-0.29,7.21,
300094045,Completed,34.94,-0.81,34.13,
300094044,Partially Refunded,83.73,-1.74,81.99,
300094042,Completed,208.95,-4.12,204.83,
300094036,Refunded,20,-0.63,19.37,
300094024,Completed,7,-0.28,6.72,
300094021,Completed,187.92,-3.72,184.2,
300094018,Completed,165.24,-3.29,161.95,
300094017,Completed,200,-3.95,196.05,
300094016,Completed,56,-1.21,54.79,
300094012,Completed,44.85,-1,43.85,
300094009,Completed,17.98,-0.49,17.49,
300093999,Completed,93,-1.92,91.08,
300094008,Completed,65.95,-1.4,64.55,
300094006,Completed,29.95,-0.72,29.23,
300093996,Completed,112,-2.28,109.72,
300093989,Completed,164.76,-3.28,161.48,
300093985,Completed,159.87,-3.99,155.88,
300093972,Completed,17.5,-0.48,17.02,
300093971,Refunded,82.8,-1.72,81.08,
300093970,Completed,65,-1.39,63.61,
300093966,Completed,126.36,-2.55,123.81,
300093952,Completed,182.52,-3.62,178.9,
300093933,Completed,171.95,-3.42,168.53,
300093934,Completed,24,-0.61,23.39,
300093931,Refunded,12.96,-0.4,12.56,
300093924,Completed,65,-1.39,63.61,
300093920,Refunded,74.35,-1.61,72.74,
300093919,Completed,116.36,-4.07,112.29,
300093918,Completed,300.24,-5.9,294.34,
300093917,Partially Refunded,105.95,-2.21,103.74,
300093916,Completed,95.05,-2.01,93.04,
300093914,Completed,113.4,-2.3,111.1,
300093915,Refunded,30.24,-0.77,29.47,
300093911,Completed,27,-0.66,26.34,
300093909,Completed,35.1,-0.82,34.28,
300093910,Completed,42.77,-1.01,41.76,
300093908,Completed,129.51,-2.66,126.85,
300093907,Completed,130,-2.67,127.33,
300093906,Completed,6.5,-0.32,6.18,
300093905,Completed,98,-2.06,95.94,
300093904,Refunded,136.85,-3.48,133.37,
300093903,Completed,24.79,-0.67,24.12,
300093902,Completed,130.4,-4.56,125.84,
300093901,Completed,7.56,-0.34,7.22,
300093900,Partially Refunded,62.6,-1.39,61.21,
300093898,Completed,29,-0.7,28.3,
300093899,Completed,138,-2.82,135.18,
300093897,Completed,45.9,-1.07,44.83,
300093896,Refunded,35.95,-1.01,34.94,
300093895,Completed,17,-0.52,16.48,
300093894,Completed,75.08,-1.63,73.45,
300093893,Completed,92.34,-1.9,90.44,
300093892,Completed,151.2,-3.02,148.18,
300093891,Completed,374.23,-7.26,366.97,
300093890,Completed,89.1,-1.89,87.21,
300093889,Completed,18,-0.49,17.51,
300093888,Completed,103.68,-2.17,101.51,
300093887,Completed,50,-1.1,48.9,
300093886,Completed,15.3,-0.44,14.86,
300093885,Partially Refunded,489,-9.49,479.51,
300093884,Completed,216,-7.56,208.44,
300093883,Completed,115,-2.39,112.61,
300093882,Completed,71.93,-1.52,70.41,
300093881,Completed,42.95,-1.02,41.93,
300093880,Denied,14.04,0,14.04,
300093879,Completed,14.5,-0.48,14.02,
300093878,Completed,10.99,-0.36,10.63,
300093877,Completed,161,-3.21,157.79,
300093875,Refunded,98,-2.5,95.5,
300093876,Completed,14.4,-0.47,13.93,
300093874,Completed,223,-4.44,218.56,
300093873,Completed,163.2,-3.3,159.9,
300093872,Completed,58.32,-1.31,57.01,
300093871,Completed,62.45,-1.34,61.11,
300093870,Completed,202.9,-4.06,198.84,
300093869,Completed,188,-3.72,184.28,
300093864,Completed,56.7,-1.23,55.47,
300093866,Completed,64,-2.24,61.76,
300093865,Completed,40,-0.96,39.04,
300093863,Completed,2,-0.19,1.81,
300093862,Completed,25.5,-0.63,24.87,
300093861,Completed,12.96,-0.45,12.51,
300093860,Completed,25.84,-0.69,25.15,
300093859,Completed,51.16,-1.17,49.99,
300093858,Completed,93.99,-1.94,92.05,
300093857,Completed,38.7,-0.94,37.76,
300093856,Completed,95,-2.01,92.99,
300093855,Completed,2,-0.19,1.81,
300093853,Completed,176.17,-3.5,172.67,
300093854,Completed,130,-2.67,127.33,
300093852,Completed,115,-2.39,112.61,
300093851,Completed,51,-1.17,49.83,
300093850,Completed,8.5,-0.31,8.19,
300093849,Completed,21,-0.74,20.26,
300093848,Refunded,78.2,-1.64,76.56,
300093847,Refunded,59.96,-1.64,58.32,
300093846,Completed,12,-0.38,11.62,
300093844,Completed,140.4,-2.87,137.53,
300093843,Completed,11.88,-0.38,11.5,
300093842,Completed,25,-0.63,24.37,
300093841,Completed,166,-3.35,162.65,
300093840,Completed,16.2,-0.51,15.69,
300093839,Refunded,72.91,-1.54,71.37,
300093838,Completed,228.96,-4.5,224.46,
300093837,Completed,50,-1.1,48.9,
300093836,Completed,62.5,-1.39,61.11,
300093835,Completed,271.9,-5.32,266.58,
300093834,Completed,94.39,-1.99,92.4,
300093833,Completed,84.16,-1.8,82.36,
300093832,Completed,198.45,-3.97,194.48,
300093831,Completed,120,-2.48,117.52,
300093830,Completed,78.84,-1.65,77.19,
300093829,Completed,69,-1.46,67.54,
300093828,Completed,52.2,-1.14,51.06,
300093827,Completed,34,-0.85,33.15,
300093826,Completed,33.05,-0.83,32.22,
300093825,Completed,81,-1.69,79.31,
300093824,Completed,9,-0.37,8.63,
300093822,Completed,23.3,-0.59,22.71,
300093821,Completed,56.28,-1.27,55.01,
300093820,Completed,14.4,-0.47,13.93,
300093819,Completed,60,-1.34,58.66,
300093815,Completed,64.99,-1.38,63.61,
300093818,Completed,17735.5,-337.17,17398.33,
300093817,Completed,30,-0.77,29.23,
300093816,Completed,32.4,-0.82,31.58,
300093814,Refunded,16,-0.45,15.55,
300093813,Completed,63.9,-1.41,62.49,
300093812,Completed,27.9,-0.87,27.03,
300093811,Completed,43.35,-1.02,42.33,
300093810,Completed,13.61,-0.46,13.15,
300093809,Completed,116.2,-2.41,113.79,
300093808,Completed,36,-0.83,35.17,
300093807,Completed,110.5,-2.25,108.25,
300093806,Denied,14.04,0,14.04,
300093805,Completed,206.5,-4.12,202.38,
300093804,Completed,77,-1.66,75.34,
300093803,Completed,49.3,-1.09,48.21,
300093802,Completed,95.04,-2.01,93.03,
300093801,Completed,104.4,-2.13,102.27,
300093800,Completed,14.4,-0.47,13.93,
300093799,Completed,15.55,-0.5,15.05,
300093798,Completed,79.7,-1.71,77.99,
300093797,Refunded,6,-0.26,5.74,
300093796,Completed,159.84,-3.24,156.6,
300093795,Partially Refunded,173.95,-3.51,170.44,
300093794,Completed,129.15,-2.65,126.5,
300093792,Completed,43.5,-0.98,42.52,
300093793,Completed,35.82,-0.88,34.94,
300093791,Completed,194.4,-3.89,190.51,
300093790,Refunded,45,-1.06,43.94,
300093789,Completed,25,-0.68,24.32,
300093788,Completed,28.46,-0.69,27.77,
300093787,Completed,54,-1.23,52.77,
300093786,Completed,77.11,-1.67,75.44,
300093785,Completed,19.8,-0.58,19.22,
300093784,Completed,17.28,-0.53,16.75,
300093782,Completed,126,-2.54,123.46,
300093781,Refunded,35.91,-0.83,35.08,
300093780,Completed,150,-3.05,146.95,
300093779,Completed,51.97,-1.19,50.78,
300093778,Refunded,30.6,-0.78,29.82,
300093776,Completed,290,-5.66,284.34,
300093777,Completed,24,-0.66,23.34,
300093775,Completed,70.2,-1.53,68.67,
300093774,Completed,45,-1.06,43.94,
300093773,Completed,536.54,-10.39,526.15,
300093772,Partially Refunded,153.81,-3.12,150.69,
300093770,Completed,191.2,-3.83,187.37,
300093769,Completed,30,-0.72,29.28,
300093768,Completed,120.47,-2.49,117.98,
300093767,Completed,212.95,-4.25,208.7,
300093766,Completed,81,-1.74,79.26,
300093765,Completed,15,-0.44,14.56,
300093764,Completed,105,-2.15,102.85,
300093763,Completed,19.2,-0.56,18.64,
300093762,Completed,150,-5.25,144.75,
300093761,Completed,22.01,-0.62,21.39,
300093760,Completed,46.82,-1.09,45.73,
300093759,Completed,16,-0.5,15.5,
300093758,Partially Refunded,23.05,-0.64,22.41,
300093757,Completed,28,-0.73,27.27,
300093756,Completed,143.8,-2.93,140.87,
300093754,Completed,120,-2.43,117.57,
300093752,Completed,85,-1.82,83.18,
300093751,Completed,341.53,-8.35,333.18,
300093750,Completed,27,-0.66,26.34,
300093749,Completed,30.24,-0.72,29.52,
300093748,Reversed,69,-1.51,67.49,
300093747,Completed,119.88,-2.43,117.45,
300093746,Completed,179.83,-3.57,176.26,
300093745,Completed,21.6,-0.61,20.99,
300093744,Completed,124.2,-2.56,121.64,
300093743,Refunded,22.5,-0.58,21.92,
300093742,Refunded,14.04,-0.47,13.57,
300093741,Completed,19.8,-0.58,19.22,
300093739,Refunded,22.5,-0.79,21.71,
300093738,Completed,18.9,-0.66,18.24,
300093737,Completed,36,-0.83,35.17,
300093734,Completed,32.08,-0.76,31.32,
300093736,Completed,101.25,-2.12,99.13,
300093735,Completed,26.5,-0.65,25.85,
300093733,Completed,41.95,-1,40.95,
300093732,Completed,114.3,-4,110.3,
300093730,Completed,28.8,-0.7,28.1,
300093729,Completed,49.5,-1.09,48.41,
300093727,Completed,101.25,-2.07,99.18,
300093728,Completed,140,-2.86,137.14,
300093726,Partially Refunded,41,-0.98,40.02,
300093725,Completed,4.94,-0.29,4.65,
300093724,Refunded,32.4,-0.82,31.58,
300093722,Completed,53,-1.16,51.84,
300093723,Refunded,42.75,-1.23,41.52,
300093721,Completed,38,-0.92,37.08,
300093719,Refunded,49.95,-1.15,48.8,
300093718,Completed,54.9,-1.24,53.66,
300093717,Completed,65,-1.44,63.56,
300093716,Completed,30.6,-0.78,29.82,
300093715,Completed,78.84,-1.7,77.14,
300093714,Completed,12,-0.42,11.58,
300093713,Completed,86.51,-1.84,84.67,
300093712,Completed,16.52,-0.46,16.06,
300093711,Completed,137.7,-2.82,134.88,
300093710,Completed,15,-0.44,14.56,
300093709,Completed,61.75,-1.32,60.43,
300093708,Refunded,45,-1.01,43.99,
300093707,Completed,36,-0.88,35.12,
300093706,Denied,14.04,0,14.04,
300093705,Completed,22,-0.77,21.23,
300093704,Completed,46.39,-1.08,45.31,
300093703,Completed,103.2,-2.16,101.04,
300093702,Denied,44,0,44,
300093701,Completed,8.1,-0.35,7.75,
300093700,Completed,132.85,-2.72,130.13,
300093699,Completed,164.5,-3.28,161.22,
300093698,Completed,89,-2.29,86.71,
300093697,Completed,88.13,-3.08,85.05,
300093696,Completed,74.7,-1.57,73.13,
300093695,Completed,50,-1.15,48.85,
300093694,Completed,38.62,-0.93,37.69,
300093693,Denied,55.98,0,55.98,
300093692,Completed,317.6,-6.23,311.37,
300093691,Denied,33,0,33,
300093690,Refunded,316.99,-6.22,310.77,
300093689,Completed,146.97,-2.99,143.98,
300093688,Completed,16.06,-0.46,15.6,
300093686,Completed,64.5,-1.38,63.12,
300093687,Completed,88,-1.87,86.13,
300093685,Canceled,299.7,0,299.7,
300093684,Denied,14.04,0,14.04,
300093683,Denied,14.04,0,14.04,
200000028,Denied,14.04,0,14.04,
300093682,Completed,40,-0.91,39.09,
300093681,Completed,121.9,-2.52,119.38,
300093680,Completed,34.02,-0.85,33.17,
300093679,Completed,35.95,-0.88,35.07,
300093678,Completed,95,-1.96,93.04,
300093677,Completed,103.7,-3.63,100.07,
300093676,Completed,28.9,-0.75,28.15,
300093673,Completed,124.95,-2.52,122.43,
300093675,Completed,460.95,-8.96,451.99,
300093674,Completed,42.77,-1.01,41.76,
300093672,Completed,28.5,-0.74,27.76,
300093671,Completed,70.75,-1.54,69.21,
300093669,Completed,53.91,-1.22,52.69,
300093668,Completed,82,-2.87,79.13,
300093667,Completed,27,-0.71,26.29,
300093666,Completed,227.48,-4.52,222.96,
200000023,Denied,9.41,0,9.41,
300093664,Completed,64.62,-1.43,63.19,
300093663,Completed,208.57,-4.11,204.46,
300093662,Completed,83,-1.78,81.22,
300093661,Completed,50.4,-1.16,49.24,
300093443,Completed,13.15,-0.4,12.75,
300093659,Completed,57.25,-1.24,56.01,
300093660,Completed,80,-1.72,78.28,
300093657,Completed,82,-1.71,80.29,
200000027,Completed,48.45,-1.12,47.33,
300093658,Completed,32.95,-0.83,32.12,
300093655,Completed,72.9,-1.54,71.36,
300093654,Completed,30.6,-0.73,29.87,
300093653,Completed,80.55,-1.68,78.87,
300093652,Completed,54.9,-1.92,52.98,
300093651,Completed,20,-0.58,19.42,
300093650,Completed,119.34,-2.47,116.87,
200000026,Completed,34.56,-0.81,33.75,
300093649,Completed,224.64,-4.47,220.17,
300093648,Completed,54,-1.23,52.77,
300093647,Refunded,47.5,-1.1,46.4,
200000025,Partially Refunded,49.5,-1.09,48.41,
300093646,Completed,108,-2.25,105.75,
300093645,Completed,34.75,-0.86,33.89,
300093644,Completed,30.6,-0.73,29.87,
300093643,Completed,87.5,-1.81,85.69,
300093642,Completed,29.7,-0.71,28.99,
300093641,Completed,24.75,-0.67,24.08,
300093640,Completed,81,-1.69,79.31,
300093639,Completed,39.6,-0.9,38.7,
300093638,Completed,80,-1.72,78.28,
300093637,Completed,28.46,-0.69,27.77,
300093636,Completed,120,-2.48,117.52,
300093635,Completed,54.55,-1.24,53.31,
300093634,Completed,44.28,-1.04,43.24,
300093633,Partially Refunded,194.95,-3.85,191.1,
300093632,Completed,95.04,-2.01,93.03,
300093631,Completed,42,-0.95,41.05,
300093630,Refunded,39.1,-0.89,38.21,
300093629,Completed,79,-1.65,77.35,
300093628,Completed,68.85,-2.41,66.44,
300093627,Completed,66.5,-1.46,65.04,
300093624,Refunded,61.95,-1.38,60.57,
300093626,Completed,128.8,-2.6,126.2,
300093625,Completed,17,-0.47,16.53,
300093623,Completed,12.96,-0.45,12.51,
300093622,Completed,31.84,-0.8,31.04,
300093621,Completed,45.76,-1.07,44.69,
300093620,Completed,53.25,-1.21,52.04,
300093619,Completed,170.42,-3.44,166.98,
300093618,Completed,180.9,-6.33,174.57,
300093617,Completed,200.95,-4.02,196.93,
300093616,Completed,171.94,-3.42,168.52,
300093615,Completed,59.96,-1.34,58.62,
300093614,Completed,67.92,-1.44,66.48,
300093613,Completed,76,-1.64,74.36,
300093604,Completed,22.5,-0.58,21.92,
300093612,Completed,39.6,-0.95,38.65,
300093611,Completed,15.55,-0.5,15.05,
300093610,Completed,59.4,-1.33,58.07,
300093609,Completed,20,-0.7,19.3,
300093608,Completed,193.12,-3.82,189.3,
300093607,Completed,31.1,-0.79,30.31,
300093606,Completed,63,-1.4,61.6,
300093605,Completed,30,-0.77,29.23,
300093603,Completed,41.04,-1.44,39.6,
300093602,Completed,16.5,-0.51,15.99,
