Order ID,Event Date,Publisher Name,Website Name,Action Name,Action Type,Status,Sale Amount (USD),Corrected Amount (USD),Order Discount (USD),Advertiser Commission (USD),Publisher Commission (USD),CJ Fee (USD),Operating System,Device Name,Browser,Is Tablet,Model,Ad ID,Coupon,Click Referring URL
300088098,2/8/2015 7:33,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,55,0,0,-7.15,5.5,1.65,Windows,Desktop,Chrome,FALSE,Desktop,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088091,2/7/2015 22:03,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,59,0,0,-7.67,5.9,1.77,Android 4.0.x Ice Cream Sandwich,Desktop,Chrome,FALSE,Desktop,11189516,YBLVE2,http://www.coupons.com/coupon-codes/skincare-by-alana/?cid=563030_2&pos=0&ccti=56836ba3173b4be99414c
300088089,2/7/2015 20:35,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,59.96,0,0,-7.795,5.996,1.799,iOS,iPad,Safari,TRUE,iPad,10832376,BEAUTY,http://www.ebates.com/skincarebyalana_12408-xfas?special=10938484&navigation_id=22622&sourceName=Web
300088083,2/7/2015 19:28,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,35,0,0,-4.55,3.5,1.05,iOS,iPad,Safari,TRUE,iPad,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088081,2/7/2015 18:47,Isabels Beauty LLC,Isabel's Beauty Authority Blog,Skincare By Alana purchase,Advanced Sale,Extended,69,0,0,-8.97,6.9,2.07,OS X 10.8 Mountain Lion,Desktop,Safari,FALSE,Desktop,11517672,ANNEM,http://www.isabelsbeautyblog.com/
300088079,2/7/2015 18:08,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,178,0,0,-23.14,17.8,5.34,Windows 7,,Mozilla,,,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088076,2/7/2015 17:55,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,136,0,0,-17.68,13.6,4.08,OS X 10.6 Snow Leopard,Desktop,Chrome,FALSE,Desktop,11600828,GLSHINE,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=Lh8FqqHDikGPHCXYcycOKQ%
300088061,2/7/2015 15:28,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,44,0,0,-5.72,4.4,1.32,Windows 7,,Mozilla,,,11600828,BEAUTY,http://www.ebates.com/skincarebyalana_12408-xfas?navigation_id=22620&sourceName=Web-Desktop
300088050,2/7/2015 13:35,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,24,0,0,-3.12,2.4,0.72,Windows 7,Desktop,IE,FALSE,Desktop,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088042,2/7/2015 11:30,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,22,0,0,-2.86,2.2,0.66,Windows 7,,Mozilla,,,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088016,2/7/2015 7:17,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,85,0,0,-11.05,8.5,2.55,Android,Galaxy S IV,Android Webkit,FALSE,SGH-I337,11189516,REVEAL15,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088017,2/7/2015 7:23,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,73,0,0,-9.49,7.3,2.19,Android,Galaxy S IV,Android Webkit,FALSE,SGH-I337,11189516,REVEAL15,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088018,2/7/2015 7:23,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,67.5,0,0,-8.775,6.75,2.025,Windows,,Mozilla,,,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088013,2/7/2015 6:33,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,127,0,0,-16.51,12.7,3.81,Android,Galaxy S III,Android Webkit,FALSE,SPH-L710,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
